Evento 	Fecha 	Hora 	Lat 	Long 	Prof.					
(km) 	Int 	Mag 	Tipo Mag 	LocalizaciÛn 	info					
17199	20/03/1997	11:21:50	28.3483	-15.925	12		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
17301	15/04/1997	11:53:15	28.3583	-15.9483	3		2.4	2	ATL¡NTICO-CANARIAS 	[+] info
17802	04/08/1997	10:21:18	28.085	-16.1367	13		2.4	2	ATL¡NTICO-CANARIAS 	[+] info
17896	03/09/1997	20:47:02	28.0633	-16.1983	7		2.1	2	ATL¡NTICO-CANARIAS 	[+] info
17993	13/10/1997	0:31:43	28.1167	-16.2233	14		2	2	ATL¡NTICO-CANARIAS 	[+] info
104874	08/07/1998	15:27:51	28.2182	-16.2111	13	III 	3.4	2	ATL¡NTICO-CANARIAS 	[+] info
107448	01/08/1998	0:22:22	28.2481	-15.6469	30	II 	3.5	2	ATL¡NTICO-CANARIAS 	[+] info
134147	15/04/1999	11:07:34	28.0555	-16.2304	31	II 	3.4	2	ATL¡NTICO-CANARIAS 	[+] info
150834	14/08/1999	13:44:04	28.1365	-16.2381	-999		2.9	2	ATL¡NTICO-CANARIAS 	[+] info
271248	06/09/1999	5:06:06	28.4874	-15.5767	12		2.4	2	ATL¡NTICO-CANARIAS 	[+] info
153944	06/09/1999	15:03:22	28.1742	-16.1463	29		3	2	ATL¡NTICO-CANARIAS 	[+] info
156515	21/09/1999	0:47:35	28.0803	-16.1376	-999		2.9	2	ATL¡NTICO-CANARIAS 	[+] info
272406	22/09/1999	8:30:45	28.4567	-16.5508	-999		2.8	2	N PUERTO DE LA CRUZ.ITF 	[+] info
157271	26/09/1999	17:45:25	28.0605	-15.7802	26		3.1	2	N LA ALDEA DE SAN NICOL¡S.IGC 	[+] info
167506	11/12/1999	15:05:10	28.0609	-16.2989	8	III 	2.6	2	ATL¡NTICO-CANARIAS 	[+] info
181546	20/01/2000	6:04:10	28.346	-16.5251	22		2.8	2	S LA OROTAVA.ITF 	[+] info
207883	05/06/2000	11:12:04	28.1395	-16.1595	30		3	2	ATL¡NTICO-CANARIAS 	[+] info
208847	13/06/2000	14:22:33	28.6142	-16.8509	44		2.7	2	ATL¡NTICO-CANARIAS 	[+] info
210027	21/06/2000	8:57:43	28.0926	-16.0797	22		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
222935	10/09/2000	16:53:16	28.4539	-16.1012	26		2.7	2	E SANTA CRUZ DE TENERIFE.ITF 	[+] info
232615	01/11/2000	8:08:45	28.1288	-16.2406	33		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
341281	28/01/2001	22:36:32	28.2221	-15.8846	10		2.4	2	ATL¡NTICO-CANARIAS 	[+] info
251109	11/03/2001	15:02:49	28.1017	-16.2526	20		3.1	2	ATL¡NTICO-CANARIAS 	[+] info
251298	13/03/2001	1:28:42	28.5905	-15.962	24		2.9	2	ATL¡NTICO-CANARIAS 	[+] info
256825	14/04/2001	17:57:13	28.108	-16.2436	24		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
260787	13/05/2001	8:40:53	28.1109	-16.1914	-999		2.5	2	ATL¡NTICO-CANARIAS 	[+] info
261672	18/05/2001	3:34:16	28.1691	-16.2737	-999		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
274007	08/07/2001	10:05:32	28.1986	-16.2798	-999		2	2	ATL¡NTICO-CANARIAS 	[+] info
